animalRecoded,sireRecoded,damRecoded
1666,10112,2042
1667,8629,7008
1668,751,9637
1669,10079,7381
1670,5987,7350
1671,4384,8328
1672,8445,8722
1673,3137,3990
1674,7604,4475
1675,3680,5873
1676,3882,9041
1677,6848,2093
1678,NULL,NULL
1679,7878,2793
1680,8947,10805
1681,4624,703
1682,1396,2622
1683,749,6713
1684,7848,4349
1685,456,9792
1686,5987,6642
1687,6557,8718
1688,4992,10690
1689,415,6902
1690,4492,7948
1692,1870,8881
1693,NULL,NULL
1694,1311,1231
1695,5235,7905
1696,NULL,NULL
1697,825,7424
1698,2526,8152
1699,9607,4146
1700,6653,7330
1701,456,9696
1702,6833,8718
1703,903,9217
1704,7848,7668
1705,7788,6454
1706,6368,3838
1707,8593,7201
1708,6741,436
1709,NULL,2094
1710,456,1326
1711,717,3755
1712,1752,4280
1713,1781,8201
1714,7825,5184
1715,6278,4806
1716,NULL,NULL
1717,1915,196
1718,7332,9001
1719,1603,7284
1720,4110,5619
1721,8672,6940
1722,NULL,NULL
1723,8548,2287
1724,361,3824
1725,361,1215
1726,2280,9149
1727,3498,10519
1728,4456,10485
1729,8445,10950
1730,8925,6521
1731,2173,9701
1732,NULL,1733
1733,2746,4952
1734,5870,713
1735,4482,4412
1736,4384,6151
1737,140,3561
1738,730,10483
1739,4795,8939
1740,3703,8231
1741,3153,7238
1742,746,6505
1743,10452,NULL
1744,9607,7908
1745,NULL,NULL
1746,730,3158
1747,2865,8973
1748,192,2060
1749,7848,4841
1750,5571,3857
1751,NULL,NULL
1752,10194,4818
1753,327,7881
1754,215,6469
1755,6879,10404
1756,4885,189
1757,5282,8667
1758,3563,3378
1759,NULL,NULL
1760,9760,2539
1762,9442,9492
1763,9743,6165
1764,563,1824
1765,1456,4934
1766,10835,5505
1767,4384,8716
1768,10288,3362
1769,9355,10144
1770,10288,921
1771,833,4968
1772,8438,3189
1773,5129,10659
1774,4367,9823
1775,1273,706
1776,3680,32
1777,5478,2151
1778,6333,6250
1779,2932,6238
1780,6202,7909
1781,6890,10765
1782,5991,5173
1783,510,3848
1784,8123,4462
1785,3680,9187
1786,10027,6306
1787,523,3500
1788,5959,4209
1789,6380,1178
1790,3563,3189
1791,1095,1538
1792,9774,3582
1793,1304,8896
1794,6943,6101
1795,922,9502
1796,6735,662
1797,7848,7628
1798,3498,7562
1799,6907,9616
1800,NULL,NULL
1801,407,NULL
1802,3498,5514
1803,5034,10872
1804,860,8293
1805,8947,9149
1806,2965,5840
1807,9496,10065
1808,1294,10738
1809,3153,6849
1810,738,8428
1811,NULL,NULL
1812,6333,1535
1813,3579,460
1814,9984,8881
1815,8123,202
1816,7825,778
1817,NULL,NULL
1818,5759,973
1819,10582,356
1821,6221,6939
1822,215,8201
1823,NULL,NULL
1824,7256,1615
1825,8865,10783
1826,9607,7645
1827,8445,6500
1828,10027,10557
1829,NULL,NULL
1830,3682,NULL
1831,NULL,NULL
1832,1843,3389
1833,2932,4567
1834,8119,7131
1835,5868,4750
1836,565,5751
1837,8414,3643
1838,2964,5803
1839,NULL,NULL
1840,9675,7056
1841,7132,3463
1842,1781,7554
1843,10835,6725
1844,NULL,NULL
1845,3704,7471
1846,4214,3208
1847,4928,10126
1848,1839,9554
1849,9014,715
1850,2310,7597
1851,4992,10466
1852,NULL,NULL
1853,1858,3551
1854,9398,10712
1855,9074,10245
1856,8664,4416
1857,949,768
1858,NULL,NULL
1859,375,10902
1860,6326,1921
1861,140,6370
1862,5083,9539
1863,7378,NULL
1864,8947,1276
1865,1781,10201
1866,NULL,NULL
1867,5504,9193
1868,3921,9265
1869,4928,103
1870,7353,1637
1871,NULL,NULL
1872,7280,8534
1873,2526,4540
1874,860,6765
1875,3934,5365
1876,NULL,NULL
1877,456,2007
1878,5636,9896
1879,2746,8918
1880,2526,4767
1881,NULL,8293
1882,9074,5047
1883,494,4273
1884,6651,9174
1885,2893,4786
1886,1463,5409
1887,361,508
1888,6412,5690
1889,4565,NULL
1890,7788,6754
1891,7353,10233
1892,7362,1006
1893,361,9423
1894,1584,8671
1895,10112,1508
1896,5487,5845
1897,1709,9996
1898,6335,2735
1899,361,881
1900,9227,7723
1901,1463,1687
1902,1463,3515
1903,NULL,128
1904,NULL,NULL
1905,NULL,NULL
1906,757,5141
1907,2300,NULL
1908,5116,4886
1909,1781,477
1910,NULL,NULL
1911,6221,10775
1912,9496,1479
1913,5083,10213
1914,10194,4024
1915,10356,1888
1916,2526,4568
1917,503,4656
1918,3698,9121
1919,2932,5380
1920,NULL,NULL
1921,4094,9940
1922,8765,NULL
1923,1752,2407
1924,5221,8900
1925,3934,10051
1926,NULL,NULL
1927,361,9121
1928,2964,4090
1929,9982,3875
1930,6380,3927
1931,4149,NULL
1932,5169,3838
1933,5034,6356
1934,7848,9100
1935,7145,NULL
1936,6937,5459
1937,9827,933
1938,532,4712
1939,4851,4413
1940,5129,3871
1941,1843,4404
1942,9993,10594
1943,5987,10483
1944,4094,1792
1945,1396,2614
1946,NULL,NULL
1947,10582,10427
1948,8865,819
1949,10288,10019
1950,6462,2046
1951,10027,5433
1952,2964,9891
1953,5665,5931
1954,6462,6768
1955,1783,2413
1956,717,9214
1957,3293,NULL
1958,6326,5072
1959,3477,7843
1960,NULL,NULL
1961,NULL,NULL
1962,NULL,NULL
1963,NULL,NULL
1964,339,5530
1965,7332,6832
1966,3593,8500
1967,3671,3037
1968,9730,3084
1969,1043,9159
1970,5799,759
1971,7353,3944
1972,7848,7522
1973,4213,9492
1974,376,7072
1975,10867,3664
1976,5987,8100
1977,2964,7680
1978,NULL,NULL
1979,NULL,NULL
1980,4851,1997
1981,NULL,NULL
1982,NULL,NULL
1983,6439,NULL
1984,10027,8480
1985,489,1211
1986,746,3410
1987,6324,10368
1988,10288,6894
1989,3750,6988
1990,922,3131
1991,3153,9259
1992,532,3463
1993,3225,6722
1994,6879,4198
1996,NULL,NULL
1997,1688,3875
1998,6833,310
1999,9312,3645
2000,NULL,NULL
2001,NULL,NULL
2002,5665,10794
2003,6575,613
2004,5235,8062
2005,8947,5524
2006,4951,5253
2007,4131,5973
2008,3713,9296
2009,5357,9952
2010,8664,6236
2011,949,8718
2012,9162,3818
2013,5750,1505
2014,398,3684
2015,7802,547
2016,NULL,3612
2017,1254,7648
2018,361,8875
2019,5083,2670
2020,5987,4594
2021,3153,7585
2022,2865,7567
2023,5289,8844
2024,8821,8452
2025,5599,8666
2026,1781,5984
2027,191,9190
2028,860,6974
2029,6333,1428
2030,5283,533
2031,5413,2250
2032,4426,3710
2033,2081,NULL
2034,1603,7467
2035,4384,8911
2036,9607,1891
2037,494,3918
2038,NULL,NULL
2039,6333,2328
2040,7848,6784
2041,8664,906
2042,7659,10850
2043,4214,10617
2044,10495,4423
2045,NULL,NULL
2046,8925,5231
2047,10027,4119
2048,7963,7991
2049,9009,2429
2050,456,5133
2051,4110,5442
2052,833,5087
2053,746,6248
2054,7796,5027
2055,191,6089
2056,NULL,NULL
2057,7435,1209
2058,4885,10269
2059,9801,6963
2060,2526,10680
2061,9706,1860
2062,NULL,356
2063,NULL,NULL
2064,4482,8508
2065,833,104
2066,4337,2076
2067,NULL,NULL
2068,9993,10911
2069,2736,957
2070,2965,10552
2071,2749,NULL
2072,8947,10804
2073,5987,9293
2074,6848,2875
2075,6770,2301
2076,NULL,NULL
2077,4384,1363
2078,2442,9763
2079,6326,9865
2080,519,5244
2081,NULL,NULL
2082,1667,8388
2083,6499,9157
2084,6735,1160
2085,NULL,NULL
2086,NULL,NULL
2087,5283,8806
2088,1304,2292
2089,NULL,NULL
2090,6574,5425
2091,9074,9293
2092,6324,6139
2093,4851,1891
2094,6231,7235
2095,4213,3344
2096,5129,7543
2097,NULL,NULL
2098,NULL,NULL
2099,717,5621
2100,7796,3357
2102,8593,10213
2103,6833,8960
2104,5571,10031
2105,5262,5342
2106,NULL,NULL
2107,6324,7831
2108,NULL,NULL
2109,6833,2159
2110,NULL,NULL
2111,519,9259
2112,361,6139
2113,1372,352
2114,9740,NULL
2115,5193,4998
2116,4612,4251
2117,4482,870
2118,4802,4488
2119,10044,2056
2120,3671,2877
2121,6691,10437
2123,9496,7165
2124,10288,3841
2125,3574,2318
2126,8445,3561
2127,NULL,NULL
2128,405,7194
2129,NULL,NULL
2130,297,5418
2131,494,486
2132,5283,5709
2133,4795,8444
2134,7438,3843
2135,NULL,10039
2136,10587,7910
2137,3093,6676
2138,717,7350
2139,6833,8554
2140,2280,6120
2141,1752,819
2142,5116,3336
2143,949,4160
2144,8858,6750
2145,1372,9004
2146,NULL,NULL
2147,7084,2068
2148,4213,1054
2149,8821,10568
2150,6333,6290
2151,NULL,NULL
2152,6066,723
2153,6221,1315
2154,NULL,NULL
2155,8821,5953
2156,4644,5342
2158,9706,1537
2159,5116,10707
2160,749,6370
2161,10494,935
2162,6221,1252
2163,3048,7859
2164,1870,6793
2165,675,10875
2166,8123,7062
2167,NULL,1591
2168,532,2083
2169,4195,7969
2170,9698,NULL
2171,4791,4463
2172,3750,5130
2173,1830,2918
2174,1527,9839
2175,9108,7986
2176,494,9552
2177,8858,5388
2178,2932,918
2179,10158,7095
2181,361,9202
2182,339,2287
2183,7296,1533
2184,4384,10236
2185,5129,10442
2186,949,7072
2187,10867,5441
2188,6333,3877
2190,717,4867
2191,519,2125
2192,5510,6252
2193,6324,8451
2194,3049,4524
2195,4730,1274
2196,4135,5266
2197,1294,1575
2198,NULL,NULL
2199,1487,1871
2200,NULL,NULL
2201,9108,9673
2202,1781,9665
2203,9312,7033
2204,6691,5311
2205,7673,2740
2206,7438,1593
2207,10107,699
2208,532,6005
2209,8821,7100
2210,2893,8573
2211,4135,10541
2212,8548,9247
2213,5750,9051
2214,3703,3414
2215,10107,7950
2216,NULL,NULL
2217,8870,7496
2218,8858,2404
2219,3882,8017
2220,4213,4429
2221,7353,105
2222,5083,8364
2223,6221,1558
2224,7954,NULL
2225,2122,9996
2226,NULL,NULL
2227,995,6999
2228,3704,10025
2229,3882,9151
2230,NULL,NULL
2231,361,5442
2232,5987,8185
2233,7109,9352
2234,10288,9360
2235,7740,3346
2237,NULL,NULL
2238,216,583
2239,NULL,2829
2240,6925,1715
2241,5357,6599
2242,6833,4941
2243,2865,10332
2244,NULL,NULL
2245,1431,6094
2246,215,1428
2247,2526,7597
2248,10027,10725
2249,2526,3401
2250,NULL,NULL
2251,9619,971
2252,8865,8101
2253,7927,527
2254,8869,5508
2255,6735,4551
2256,8445,26
2257,NULL,NULL
2258,6058,4969
2259,920,5800
2260,7296,5498
2261,NULL,NULL
2262,4644,5157
2263,1969,2368
2264,792,NULL
2265,1761,NULL
2266,NULL,NULL
2267,9442,10477
2268,3671,679
2269,519,4280
2270,3498,4593
2271,3615,10782
2272,5750,3846
2273,7011,NULL
2274,9345,6117
2275,5571,8130
2276,3574,8606
2277,3574,9272
2278,5510,6377
2279,7296,3516
2280,3355,6164
2281,8664,7544
2282,5987,4639
2283,NULL,NULL
2284,212,10598
2285,5987,1698
2286,4555,NULL
2287,1752,133
2288,6848,1771
2289,676,7934
2290,5283,961
2291,8438,10031
2292,140,1659
2293,2463,NULL
2294,834,6032
2295,532,745
2296,5665,9523
2297,NULL,NULL
2298,519,6235
2299,8445,5886
2300,NULL,NULL
2301,1521,5612
2302,10660,3761
2303,NULL,NULL
2304,NULL,NULL
2305,7848,9859
2306,833,6129
2307,8869,3965
2308,4195,368
2309,7725,4517
2310,5665,7742
2311,2360,1118
2312,8263,7369
2313,10079,8342
2314,4644,10676
2315,10158,3398
2316,8119,3676
2317,6833,3068
2318,9442,4917
2319,5169,3476
2320,8858,1513
2321,NULL,NULL
2322,676,6383
2323,6221,1323
2324,8865,5772
2325,8869,7445
2326,5357,4642
2327,7332,9002
2328,5636,10984
2329,3093,9102
2330,1583,839
2331,9619,5160
2332,6221,10802
2333,531,9836
2334,1781,8183
2336,6872,921
2337,7802,9924
2338,6006,1073
2339,1915,4004
2340,5992,NULL
2341,2932,9157
2342,6363,10208
2343,9082,NULL
2344,2499,9824
2345,4853,7381
2346,1752,3770
2347,7071,7799
2348,5221,9406
2349,833,2292
2350,8425,NULL
2351,5665,2982
2352,1843,2060
2354,9619,3036
2355,5129,5302
2356,4021,5014
2357,3882,10397
2358,9034,5985
2359,NULL,NULL
2360,5169,7962
2361,489,5271
2362,990,5689
2363,3680,6489
2364,7353,4785
2365,NULL,NULL
2366,2170,NULL
2367,10107,314
2368,NULL,NULL
2369,10107,6668
2370,4853,10365
2371,5129,8855
2372,3882,10955
2373,10711,5994
2374,7132,4580
2375,3593,6420
2376,9681,NULL
2377,995,559
2378,712,10318
2379,519,3576
2380,4851,2905
2381,4304,8516
2382,NULL,10025
2383,1667,9479
2384,717,1215
2385,1527,4028
2386,3216,10010
2387,NULL,NULL
2388,982,1848
2389,4456,773
2390,2542,3037
2391,1254,10102
2392,6333,6468
2393,7084,3148
2394,4384,8652
2395,2955,469
2396,NULL,NULL
2397,5868,9429
2398,833,7543
2399,7963,777
2400,746,6350
2401,NULL,NULL
2402,6499,10448
2403,8858,783
2404,9312,9583
2405,8191,5150
2406,3704,2504
2407,3704,6682
2408,5235,7959
2409,10251,9101
2410,922,7655
2411,4110,10367
2412,6326,6319
2413,3399,272
2414,5610,7417
2415,606,6027
2416,NULL,NULL
2417,8865,10608
2418,10027,6816
2419,6651,4232
2420,2280,7681
2421,8445,4015
2422,7132,3726
2423,834,7134
2424,4110,10832
2425,10251,5801
2426,6297,9246
2427,2779,NULL
2428,5282,4642
2429,5868,775
2430,519,5840
2431,1603,5772
2432,7673,10233
2433,6943,7543
2434,2746,2791
2435,2499,9423
2436,8438,1176
2437,5282,4246
2438,641,3764
2439,1456,3224
2440,9496,5795
2441,6470,5583
2442,1906,6991
2443,1960,5078
2444,9496,4607
2445,6651,2961
2446,10288,10397
2447,327,7164
2448,6380,10533
2449,6333,5633
2450,10797,5015
2451,8858,8534
2452,10860,3168
2453,4778,10180
2454,6324,578
2455,7780,164
2456,339,10175
2457,2499,2550
2458,7788,4448
2459,5083,3159
2460,NULL,NULL
2461,NULL,NULL
2462,361,8492
2463,474,NULL
2464,4795,7446
2465,949,6018
2466,9984,8151
2467,2526,4739
2468,1254,2208
2469,825,1405
2470,212,2318
2471,5397,9272
2472,10711,6638
2473,NULL,NULL
2474,3355,7188
2475,NULL,NULL
2476,4384,8352
2477,9496,4391
2478,191,3516
2479,3563,7205
2480,6499,5380
2481,8674,662
2482,361,3939
2483,3428,4504
2484,532,8070
2485,10711,6569
2486,5083,10338
2487,1781,6946
2488,1688,3050
2489,4885,6837
2490,NULL,202
2491,6458,8399
2494,3214,175
2495,4624,9337
2496,2865,733
2497,8821,3947
2498,NULL,NULL
2499,676,5842
2500,6380,4718
2501,3498,380
2502,857,8732
2503,181,7148
2504,8593,10425
2505,9496,687
2506,6651,10442
2507,1254,5562
2508,5636,2022
2509,1039,9422
2510,7788,10619
2511,7604,6414
2512,10112,4146
2513,3628,402
2514,8464,2418
2515,4795,5718
2516,8577,3330
2517,4565,8682
2518,8593,8463
2519,9312,4971
2520,1603,7284
2521,717,3008
2522,3882,4846
2523,1396,3664
2524,1463,4235
2525,3680,4343
2526,5603,5109
2527,6326,9084
2528,4624,6349
2529,10860,8982
2530,5357,3576
2531,7296,7550
2532,5987,9300
2533,2310,6508
2534,NULL,NULL
2536,9846,2086
2537,4214,3720
2538,3671,2622
2539,NULL,NULL
2540,NULL,NULL
2541,3704,1369
2543,3671,309
2544,717,8875
2545,4795,8365
2546,9706,9920
2547,10107,2104
2548,5357,10759
2549,6943,6535
2550,7280,2594
2551,834,934
2552,5282,907
2553,NULL,461
2554,4214,5462
2555,2746,7506
2556,5987,7124
2557,8969,7546
2558,7196,10724
2559,833,9213
2560,215,7010
2561,8548,259
2562,NULL,NULL
2563,10537,8496
2564,990,4173
2565,10564,3694
2566,NULL,NULL
2567,5397,9717
2568,6848,4718
2569,860,5630
2570,10112,2622
2571,5116,8112
2572,5235,7686
2573,8575,NULL
2574,494,3123
2575,6735,182
2576,10582,2649
2577,NULL,1997
2578,3579,NULL
2579,5627,9981
2580,NULL,NULL
2581,949,9587
2582,2492,NULL
2583,7848,6793
2584,NULL,NULL
2585,3593,6195
2586,5974,NULL
2587,4928,3969
2588,8869,4529
2589,8858,8221
2590,6008,2359
2591,NULL,NULL
2592,NULL,NULL
2593,NULL,NULL
2594,10026,10821
2595,456,1766
2596,8969,3
2597,1781,9848
2598,6006,1073
2599,6499,4143
2600,NULL,NULL
2601,2526,9865
2602,2310,2774
2603,6324,8919
2604,6326,9451
2605,6499,3107
2606,NULL,NULL
2607,4456,1707
2608,6462,7756
2609,1955,5217
2610,9619,9888
2611,9984,7526
2612,NULL,NULL
2613,6879,7685
2614,5282,6414
2615,8548,226
2616,860,8732
2617,8119,6914
2618,2542,8142
2619,6324,6524
2620,NULL,NULL
2621,6499,10917
2622,5282,4151
2624,NULL,NULL
2625,4425,NULL
2626,10985,NULL
2627,NULL,NULL
2628,7874,8145
2629,6735,105
2630,6653,9084
2631,77,3109
2632,6006,8296
2633,2653,9667
2634,5582,NULL
2635,1273,10917
2636,3704,4037
2637,339,8303
2638,3949,5556
2639,3404,10589
2640,NULL,NULL
2641,7084,6194
2642,8895,8381
2643,NULL,NULL
2644,361,8137
2645,NULL,NULL
2646,7869,NULL
2647,8947,7776
2648,519,4956
2649,5987,10062
2650,10288,7870
2651,8821,5585
2652,7256,1764
2653,4772,275
2654,1527,7685
2655,3300,8877
2656,5987,9955
2657,8123,10120
2658,6872,10502
2659,NULL,NULL
2660,297,10367
2661,5129,10152
2662,7673,662
2663,9980,5948
2664,8442,2872
2665,NULL,NULL
2666,3832,NULL
2667,6848,3834
2668,4384,6696
2669,7874,2587
2670,6006,9231
2671,4456,6527
2672,6324,6839
2673,NULL,NULL
2674,1,8
2675,10037,3944
2676,10027,9116
2677,1463,5157
2678,10711,4580
2679,NULL,NULL
2680,5129,6914
2681,5504,3891
2682,10711,10922
2683,NULL,NULL
2684,3593,8437
2685,10626,7980
2686,456,6531
2687,717,7716
2688,2204,4049
2689,8239,10727
2690,NULL,NULL
2691,3225,2672
2692,10941,4046
2693,6333,364
2694,5968,1531
2695,5665,1808
2696,746,7134
2697,10924,9155
2698,NULL,NULL
2699,NULL,NULL
2700,3574,2928
2701,10835,1251
2702,641,4911
2703,407,2673
2704,215,5655
2705,4108,2976
2706,6206,2258
2707,10107,5498
2708,2110,9593
2709,3899,9998
2710,5504,3129
2711,2319,10834
2712,6943,5751
2713,4131,10568
2714,5835,7113
2715,215,3639
2716,NULL,NULL
2717,361,1954
2718,8923,1240
2719,9982,7248
2720,5510,10371
2721,NULL,3944
2722,4384,382
2723,6653,7010
2724,5221,8753
2725,6653,6250
2726,10771,NULL
2727,5451,1252
2728,2280,8602
2729,7848,2662
2730,4415,7334
2731,327,2894
2732,565,7232
2733,5116,7973
2734,NULL,NULL
2735,NULL,NULL
2736,2195,9796
2737,1917,4741
2738,4778,5850
2739,9442,529
2740,8674,6589
2741,5129,8722
2742,2893,4349
2743,NULL,NULL
2744,10428,2815
2745,5227,3670
2746,10726,5410
2747,3153,1031
2748,3703,2757
2750,9074,1207
2751,6592,10491
2752,717,6266
2753,4851,3001
2754,8028,1346
2755,4757,9555
2756,456,2060
2757,7084,2495
2758,8821,4531
2759,4023,9992
2760,6875,4893
2761,9312,9103
2762,NULL,NULL
2763,8664,3926
2764,738,487
2765,990,5352
2766,2499,9540
2767,4110,7776
2768,9984,9286
2769,5987,10371
2770,1254,9848
2771,NULL,NULL
2772,949,9103
2773,252,8518
2774,10026,9622
2776,10867,5709
2777,7796,3596
2778,NULL,NULL
2780,2116,NULL
2781,1870,4146
2782,1039,151
2783,NULL,NULL
2784,NULL,NULL
2785,10112,2093
2786,6326,10456
2787,5682,4335
2788,2315,5760
2789,5987,1207
2790,7659,8881
2791,1843,1698
2792,10027,36
2793,702,3455
2794,1304,8896
2795,7016,429
2796,9619,3950
2797,NULL,NULL
2798,834,967
2799,6333,9084
2800,597,941
2801,9982,10800
2802,216,9692
2803,5282,6897
2804,2579,3957
2805,1463,5651
2806,456,870
2807,2280,7350
2808,7848,6587
2809,9074,4587
2810,5242,9902
2811,6654,5040
2812,456,3215
2813,2893,8854
2814,9398,9259
2815,4644,2898
2816,9403,7169
2817,5627,3920
2818,10027,8272
2819,1254,504
2820,7145,5368
2821,NULL,NULL
2822,4913,NULL
2823,9355,5649
2824,5665,9052
2825,NULL,NULL
2826,NULL,NULL
2827,2526,10283
2828,2280,6372
2829,834,4536
2830,2865,278
2831,5083,8364
2832,2746,944
2833,2998,10296
2834,3921,NULL
2835,6324,6139
2836,327,9206
2837,7693,929
2838,NULL,NULL
2839,5324,400
2840,7796,8410
2841,6592,3444
2842,4213,2622
2843,7848,2548
2844,10691,1231
2845,5750,1042
2846,6680,5543
2847,1781,5074
2848,192,2155
2849,375,6174
2850,3428,1295
2851,3428,NULL
2852,6462,8545
2853,9218,1673
2854,746,7139
2855,717,2765
2856,5083,1107
2857,10428,282
2858,7659,10214
2859,8264,NULL
2860,NULL,NULL
2861,4456,1707
2862,10861,4740
2863,7180,2818
2864,7121,NULL
2865,2347,9109
2866,6875,2548
2867,9470,9258
2868,3699,9856
2869,10999,8556
2871,7121,2864
2872,3593,167
2873,9496,8238
2874,4213,844
2875,7673,10935
2876,9014,9771
2877,8548,8390
2878,615,NULL
2879,NULL,NULL
2880,749,10721
2881,3949,4882
2882,5169,3262
2883,10863,NULL
2884,9192,1322
2885,10079,10025
2886,5627,9623
2887,NULL,NULL
2888,10867,10783
2889,8858,4480
2890,8548,8065
2891,5116,1691
2892,8672,1730
2893,9227,333
2894,9993,2573
2895,9404,1335
2896,6833,1513
2897,2204,6834
2898,1463,3328
2899,361,10367
2900,5357,10631
2901,9496,7645
2902,7109,6812
2903,5537,3487
2904,519,5716
2905,6735,9601
2906,5397,10442
2907,6339,2514
2908,6875,10783
2909,1039,1053
2910,NULL,NULL
2911,5868,8671
2912,9442,7607
2913,10711,1473
2914,327,3952
2915,519,10226
2916,4853,2841
2917,4644,9292
2918,NULL,NULL
2919,NULL,NULL
2920,705,6902
2921,3704,8582
2922,10026,6257
2923,5571,5713
2924,5083,2208
2925,1254,3544
2926,7659,2970
2927,825,2741
2928,10037,8100
2929,8664,533
2930,3628,1329
2931,9993,7015
2932,8670,7527
2933,746,1121
2934,3934,9533
2935,7353,5073
2936,2061,9259
2937,6848,1939
2938,5868,9193
2939,212,2267
2940,5627,4243
2941,NULL,NULL
2942,3923,2342
2943,9082,8143
2944,8252,3472
2945,5987,5446
2946,3671,5780
2947,8664,10608
2948,6352,2734
2949,9392,10423
2950,NULL,NULL
2951,6462,145
2952,3671,2281
2953,8548,9664
2954,4853,6475
2955,NULL,NULL
2956,6040,7683
2957,7132,951
2958,532,3474
2959,9589,NULL
2960,7438,34
2961,7673,8329
2962,9984,1374
2963,7207,6182
2964,10929,7808
2965,10136,6912
2966,361,6025
2967,6651,10152
2968,3216,2054
2969,4482,8152
2970,3214,1490
2971,7848,9301
2972,5547,NULL
2973,1348,9874
2974,749,8309
2975,NULL,NULL
2976,1311,596
2977,3842,NULL
2978,2280,5107
2979,10835,1091
2980,NULL,NULL
2981,2526,10928
2982,5632,1961
2983,NULL,NULL
2984,10026,3892
2985,10711,4705
2986,NULL,2407
2987,7332,8204
2988,1584,808
2989,3615,NULL
2990,9607,526
2991,9209,8018
2992,3882,10967
2993,7084,5781
2994,140,9100
2995,1304,618
2996,3698,5107
2997,NULL,8065
2998,9827,2759
2999,1781,2670
3000,860,4965
3001,7353,1581
3002,3680,8300
3003,4603,6356
3004,215,3226
3005,4300,5509
3006,8664,3693
3007,4851,8103
3008,6324,7716
3009,1396,4866
3010,456,4997
3011,4195,893
3012,4644,6115
3013,2272,4101
3014,825,7157
3015,NULL,NULL
3016,3225,330
3017,6943,3034
3018,9398,6282
3019,4213,134
3020,8608,9742
3021,8846,2870
3022,7976,9725
3023,3190,6268
3024,5510,10637
3025,4851,6039
3026,4193,7577
3027,8438,7680
3028,4526,3765
3029,7700,414
3030,NULL,10001
3031,8858,6162
3032,9607,6389
3033,4110,7119
3034,6651,9001
3035,8865,10336
3036,5034,9894
3037,2893,5508
3038,5397,8618
3039,NULL,NULL
3040,9119,10787
3041,NULL,NULL
3042,4684,8899
3043,3574,10685
3044,922,9517
3045,4603,4968
3046,7132,10826
3047,NULL,NULL
3048,5750,NULL
3049,NULL,NULL
3050,990,3755
3051,746,3939
3052,4093,NULL
3053,5283,6118
3054,NULL,NULL
3055,6879,3917
3057,8445,8995
3058,297,9300
3059,4853,2710
3060,2204,224
3061,9867,8249
3062,2893,4900
3063,9984,6512
3064,1463,5157
3065,NULL,8324
3066,NULL,NULL
3067,9550,343
3068,10428,7383
3069,6943,4663
3071,5034,4946
3072,5451,10550
3073,339,9193
3074,2526,3532
3075,6221,6841
3076,531,6773
3077,NULL,NULL
3078,7848,10734
3079,9607,10382
3080,216,1263
3081,9666,3417
3082,4131,1484
3083,181,6266
3084,4051,7258
3085,519,8551
3086,7673,5776
3087,8080,6607
3088,673,3717
3089,6653,1215
3090,494,583
3091,6324,8408
3092,8826,9370
3093,9706,3247
3094,10251,1947
3095,717,870
3096,1273,10617
3097,3934,4755
3098,8865,6267
3099,5451,725
3100,6574,5355
3101,6557,7425
3102,1783,3572
3103,5129,9489
3104,9074,6247
3105,6324,578
3106,4936,10522
3107,10026,10193
3108,1709,9035
3109,NULL,NULL
3110,2204,5154
3111,7848,7131
3112,4456,1369
3113,9074,7148
3114,6221,9610
3115,10835,9012
3116,10484,4005
3117,3773,NULL
3118,6691,8228
3119,4526,NULL
3120,7796,1581
3121,3225,5442
3122,10428,4742
3123,9398,10016
3124,327,4847
3125,3225,6722
3127,922,9757
3128,8922,7368
3129,730,4540
3130,5750,7677
3131,6651,7668
3132,860,8082
3133,NULL,2129
3134,4195,7033
3135,10037,6247
3137,NULL,NULL
3138,8555,5707
3139,5236,228
3140,1843,5818
3141,7848,793
3142,2746,3755
3143,1843,1106
3144,6462,5070
3145,2893,8101
3146,5656,5574
3147,717,1326
3148,1095,7264
3149,456,9501
3150,4597,NULL
3151,9870,2273
3152,6124,1038
3153,1313,741
3154,4384,9819
3155,6499,10776
3156,2932,9665
3157,2499,2177
3158,5636,6508
3159,6221,1558
3160,9627,NULL
3161,7280,4566
3162,730,5633
3163,339,2459
3164,6462,14
3165,5283,10953
3166,825,4408
3167,407,10565
3168,6324,9768
3169,738,3306
3170,1781,8416
3171,3671,7366
3172,NULL,NULL
3173,NULL,NULL
3174,5959,10171
3175,5636,6162
3176,6872,2782
3177,3934,9502
3178,3704,3720
3179,10428,778
3180,3593,8272
3181,3534,10820
3182,5116,477
3183,2438,10028
3184,375,6884
3185,NULL,NULL
3186,7438,5165
3187,6380,10382
3188,6221,918
3189,191,10745
3190,7725,4849
3191,NULL,NULL
3192,6326,1004
3193,1254,1323
3194,717,5554
3195,8622,9805
3196,10112,5742
3197,5282,4921
3198,10251,3059
3199,7438,2937
3200,NULL,NULL
3201,2949,9254
3202,4853,1664
3203,8996,290
3204,10562,1904
3205,5510,4871
3206,4384,4852
3207,NULL,NULL
3208,5868,7201
3209,NULL,NULL
3210,1294,9649
3211,1614,8107
3212,1273,8913
3213,NULL,NULL
3214,3061,2474
3215,2310,5966
3217,494,1964
3218,7725,7405
3219,3704,698
3220,4913,NULL
3221,6557,10009
3222,4795,769
3223,2061,4976
3224,9143,7046
3225,9060,9107
3226,4195,9012
3227,361,4342
3228,2865,5688
3229,7788,9971
3230,4851,7003
3231,7132,7123
3232,9774,4788
3233,NULL,300
3234,6651,10465
3235,6279,10737
3236,9984,1385
3237,5235,8142
3238,8869,4440
