recodedId,QC_RTL,TL_Quartiles,CULL_DATE,CutoffDate,Survival,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y
372,0.890061267,1,NULL,01/01/2017,2073,67.96721311,5.679452055,0,-0.158594233,3
372,0.890061267,1,NULL,01/01/2017,2073,67.96721311,5.679452055,0,-0.158594233,4
382,0.943275887,1,NULL,01/01/2017,2365,77.54098361,6.479452055,0,-0.030127998,0
382,1.220524782,4,NULL,01/01/2017,2365,77.54098361,6.479452055,0,0.015099968,1
382,0.912274999,1,NULL,01/01/2017,2365,77.54098361,6.479452055,0,-0.113722024,4
382,1.330763087,4,NULL,01/01/2017,2365,77.54098361,6.479452055,0,0.108481002,2
382,0.912274999,1,NULL,01/01/2017,2365,77.54098361,6.479452055,0,-0.113722024,3
385,1.100308031,2,01/05/2014,01/01/2017,1461,47.90163934,4.002739726,1,0.018387219,0
385,0.860864638,1,01/05/2014,01/01/2017,1461,47.90163934,4.002739726,1,-0.113598953,1
385,1.02114277,2,01/05/2014,01/01/2017,1461,47.90163934,4.002739726,1,0.044396736,2
385,0.845094233,1,01/05/2014,01/01/2017,1461,47.90163934,4.002739726,1,-0.132088091,3
385,0.845094233,1,01/05/2014,01/01/2017,1461,47.90163934,4.002739726,1,-0.132088091,4
428,1.221217462,3,NULL,01/01/2017,2590,84.91803279,7.095890411,0,0.010164299,0
428,1.15456459,3,NULL,01/01/2017,2590,84.91803279,7.095890411,0,0.004798869,1
428,1.231990738,4,NULL,01/01/2017,2590,84.91803279,7.095890411,0,-0.012623102,2
428,1.409239936,4,NULL,01/01/2017,2590,84.91803279,7.095890411,0,0.126206309,3
428,1.409239936,4,NULL,01/01/2017,2590,84.91803279,7.095890411,0,0.126206309,4
525,1.489805615,4,30/09/2011,01/01/2017,759,24.8852459,2.079452055,1,0.229034176,0
525,1.058120741,3,30/09/2011,01/01/2017,759,24.8852459,2.079452055,1,-0.084541311,1
525,1.29918867,4,30/09/2011,01/01/2017,759,24.8852459,2.079452055,1,0.100968949,2
526,1.229112281,3,NULL,01/01/2017,2461,80.68852459,6.742465753,0,0.089306822,0
526,1.060872082,3,29/06/2016,01/01/2017,2275,74.59016393,6.232876712,1,0.040243522,1
526,1.048598098,3,29/06/2016,01/01/2017,2275,74.59016393,6.232876712,1,-0.086917937,2
526,1.165359642,4,29/06/2016,01/01/2017,2275,74.59016393,6.232876712,1,0.063039327,3
526,1.165359642,4,29/06/2016,01/01/2017,2275,74.59016393,6.232876712,1,0.063039327,4
533,1.15184998,2,NULL,01/01/2017,2990,98.03278689,8.191780822,0,-0.051594987,0
533,1.344860933,4,NULL,01/01/2017,2990,98.03278689,8.191780822,0,0.058374387,1
533,1.47934624,4,NULL,01/01/2017,2990,98.03278689,8.191780822,0,0.169302325,2
533,1.325130625,4,NULL,01/01/2017,2990,98.03278689,8.191780822,0,0.10441057,3
533,1.325130625,4,NULL,01/01/2017,2990,98.03278689,8.191780822,0,0.10441057,4
562,1.00910889,1,17/07/2014,01/01/2017,897,29.40983607,2.457534247,1,-0.003823538,0
562,1.035505592,2,17/07/2014,01/01/2017,897,29.40983607,2.457534247,1,-0.018558266,1
562,1.066731492,3,17/07/2014,01/01/2017,897,29.40983607,2.457534247,1,0.027084188,2
582,1.039234843,2,NULL,01/01/2017,2097,68.75409836,5.745205479,0,0.073824071,0
582,0.97215917,2,NULL,01/01/2017,2097,68.75409836,5.745205479,0,-0.083645798,1
582,0.825074236,1,NULL,01/01/2017,2097,68.75409836,5.745205479,0,-0.136922012,2
582,1.008199642,2,NULL,01/01/2017,2097,68.75409836,5.745205479,0,0.007634002,3
582,1.008199642,2,NULL,01/01/2017,2097,68.75409836,5.745205479,0,0.007634002,4
625,1.27872512,4,25/06/2015,01/01/2017,1561,51.18032787,4.276712329,1,0.028334559,0
625,1.187881797,4,25/06/2015,01/01/2017,1561,51.18032787,4.276712329,1,-0.026584417,1
625,1.47882729,4,25/06/2015,01/01/2017,1561,51.18032787,4.276712329,1,0.202526122,2
625,1.207203627,4,25/06/2015,01/01/2017,1561,51.18032787,4.276712329,1,0.041314453,3
679,1.034858829,2,10/01/2014,01/01/2017,1356,44.45901639,3.715068493,1,0.082982791,0
679,1.192082813,4,10/01/2014,01/01/2017,1356,44.45901639,3.715068493,1,0.025819847,1
679,0.941056386,2,10/01/2014,01/01/2017,1356,44.45901639,3.715068493,1,-0.062745553,2
679,0.914982871,1,10/01/2014,01/01/2017,1356,44.45901639,3.715068493,1,-0.087392341,3
679,0.914982871,1,10/01/2014,01/01/2017,1356,44.45901639,3.715068493,1,-0.087392341,4
