ANIMAL_ID,SIRE_ID,DAM_ID
DUMMYHUK4254M,DUMMYHUK11M,010000001216400911F
010000001123508911F,010000000057345011M,010000001084819111F
DUMMYHUK3328M,650000013436109311M,010000001107884011F
DUMMYHUK3519M,600000034661272411M,010000001107884011F
010000001203504811F,650000000201460711M,010000001127730511F
DUMMYHUK4074M,010000000065110111M,010000001167287211F
010000001228447211F,650000006392772311M,010000001171720711F
DUMMYHUK4583F,DUMMYHUK34M,010000001228943811F
DUMMYHUK3574M,650000000201460711M,010000001126440111F
010000001201484311F,600000034661272411M,010000001127986411F
DUMMYHUK4277F,DUMMYHUK11M,010000001221011311F
010000001132929811F,710000569200023211M,010000001091463911F
DUMMYHUK2719F,010000000058695011M,010000001008441311F
DUMMYHUK2596M,630000022753720611M,010000001008441311F
DUMMYHUK2615M,630000022753720611M,010000001011226811F
010000001065866311F,650000012218557311M,010000001011226811F
DUMMYHUK4302M,DUMMYHUK11M,010000001205591911F
010000001084565211F,010000000058695011M,010000000985697211F
010000001083851911F,650000000218827211M,010000000990272511F
DUMMYHUK3048M,650000001802389211M,010000001109524611F
010000001227409411F,010000000062249211M,010000001187447311F
DUMMYHUK2662M,650000000218827211M,010000000960267811F
DUMMYHUK3314M,630000028845877311M,010000001088167911F
DUMMYHUK3621M,650000006004537511M,010000001129006711F
DUMMYHUK3939M,010000000063130811M,010000001145267811F
DUMMYHUK4330M,DUMMYHUK30M,010000001201484311F
DUMMYHUK4297F,DUMMYHUK15M,010000001221145811F
DUMMYHUK2256M,630000083938054611M,010000000971395611F
010000001166327011F,010000000059817211M,010000001127985411F
DUMMYHUK2595M,*,010000001035507511F
DUMMYHUK2298M,650000000218531911M,010000000982468711F
010000001150449411F,600000057889174811M,010000001084820111F
DUMMYHUK3975M,010000000063052611M,010000001133207911F
DUMMYHUK3864F,010000000063052611M,010000001191543711F
DUMMYHUK4435M,DUMMYHUK32M,010000001191543711F
010000001088167911F,710000569502684311M,010000001015106011F
DUMMYHUK4653F,DUMMYHUK27M,010000001199000911F
DUMMYHUK3619M,650000013227754111M,010000001167884011F
DUMMYHUK2784M,650000012235831311M,010000001071570711F
DUMMYHUK2630M,010000000046116511M,010000001069447211F
010000001132931711F,710000569200023211M,010000001092091511F
DUMMYHUK4555M,DUMMYHUK12M,010000001217334211F
DUMMYHUK2740M,*,010000001005268411F
010000001169330111F,640000000536434311M,010000001086629711F
DUMMYHUK3234F,540000200097190511M,010000001091532211F
010000001210115911F,010000000061448511M,010000001082003411F
010000000895531811F,650000000207829011M,010000000853249011F
DUMMYHUK3116M,650000001805491811M,010000001118054711F
DUMMYHUK4389F,DUMMYHUK111M,010000001185731411F
010000001143105811F,010000000060181711M,010000001101051311F
010000001182938911F,630000028845877311M,010000001143985111F
DUMMYHUK4749M,DUMMYHUK56M,010000001215465111F
DUMMYHUK4429F,DUMMYHUK13M,010000001228447211F
DUMMYHUK4202F,DUMMYHUK56M,010000001169750411F
DUMMYHUK3386M,640000000514504111M,010000001127730511F
DUMMYHUK3800F,650000006225339411M,010000001167287211F
010000001209212011F,010000000061448511M,010000001134062811F
DUMMYHUK3539M,650000006164301611M,010000001090382211F
010000001218291511F,010000000061448511M,010000001090382211F
DUMMYHUK2389M,630000083938054611M,010000000992241111F
010000001155982011F,010000000059817211M,010000001082243311F
DUMMYHUK3912F,010000000062249211M,010000001191803811F
010000001114936211F,010000000059827811M,010000001066721611F
010000001143985511F,630000026598823311M,010000001085251111F
010000001223694411F,650000006225339411M,010000001127986411F
DUMMYHUK2999M,010000000060181711M,010000001046706211F
DUMMYHUK3718M,DUMMYHUK56M,010000001108352211F
DUMMYHUK3578M,650000013227754111M,010000001144963711F
010000001034981911F,630000083938054611M,010000000973521111F
DUMMYHUK3235M,650000001802389211M,010000001108352211F
640000000027742611M,640000000025460911M,640000000116266211F
200000000018448911M,010000000016226511M,010000000052441411F
200000000031443711M,200000000021971311M,200000000180074211F
640000000028504111M,640000000026715011M,640000000134476911F
640000000032587811M,640000000030457211M,640000000193601311F
200000000039845711M,200000000031441111M,200000000280956211F
640000000026134511M,640000000090983911M,640000000236884411F
010000000063130811M,010000000059817211M,010000001026351211F
650000000207057911M,650000000182120811M,650000001163320311F
640000000030836011M,640000000030040911M,650000000164676811F
200000000027250711M,*,200000000098119211F
650000000162939111M,640000000028879011M,640000000268858111F
200000000012745511M,200000000008356111M,200000000026912011F
640000000028369811M,650000000130546011M,650000000264943811F
010000000039660711M,640000000029421311M,200000000282255811F
DUMMYHUK1943M,630000079054553211M,010000000857115411F
DUMMYHUK4225M,DUMMYHUK15M,010000001182393411F
DUMMYHUK3899M,650000013555624311M,010000001182393411F
DUMMYHUK3809M,650000006054033611M,010000001184721411F
010000001180096711F,630000078998045011M,010000001107854111F
010000001166025511F,640000000536434311M,010000001107854411F
DUMMYHUK3392M,640000000514504111M,010000001107854411F
010000001221145811F,650000013555625211M,010000001162681911F
010000000643574811F,640000000033383611M,010000000404639611F
010000000543535411F,200000000034934111M,010000000404639611F
010000001071566911F,010000000058695011M,010000001003496311F
DUMMYHUK2622M,650000000218827211M,010000001007444011F
640000000026059911M,640000000019899811M,640000000093025811F
DUMMYHUK4513F,DUMMYHUK13M,DUMMYHUK3940F
DUMMYHUK4698M,DUMMYHUK27M,DUMMYHUK4172F
DUMMYHUK1756M,650000000202004911M,010000000864833811F
200000000561296411F,010000000039137311M,200000000470322411F
010000000744555611F,640000000034351411M,010000000616354411F
010000000732869811F,640000000035790711M,010000000622315211F
010000001045334011F,010000000058237411M,010000000960267811F
010000001150983011F,600000034546181811M,010000001088167911F
DUMMYHUK3050M,600000034546181811M,010000001110760411F
DUMMYHUK3506M,650000013577802311M,010000001145267811F
DUMMYHUK4683F,DUMMYHUK112M,010000001235515511F
DUMMYHUK4654M,DUMMYHUK89M,010000001236403711F
DUMMYHUK2965F,010000000057345011M,010000001029858711F
DUMMYHUK2811F,720006105101208111M,010000001029858711F
DUMMYHUK3236M,650000000227204411M,010000001131451411F
DUMMYHUK4521F,DUMMYHUK13M,010000001245903711F
DUMMYHUK2750M,010000000058798411M,010000001065326111F
DUMMYHUK4176M,650000013598410911M,010000001133207911F
DUMMYHUK4635M,DUMMYHUK112M,010000001169330711F
DUMMYHUK4165F,650000013296773411M,010000001191543711F
010000001241506811F,010000000062249211M,010000001199000911F
DUMMYHUK4370M,DUMMYHUK56M,010000001199000911F
DUMMYHUK1758M,650000000210329711M,010000000843229011F
010000000938498811F,650000000202004911M,010000000864833911F
DUMMYHUK4171M,600000053674301911M,010000001205415811F
DUMMYHUK1977M,630000082987787411M,010000000858174011F
DUMMYHUK2781M,710000369710405511M,010000001070213411F
DUMMYHUK3694F,650000006189496611M,010000001150983411F
010000001195360611F,630000036125244311M,010000001150983411F
DUMMYHUK3906M,650000006054033611M,010000001150983411F
DUMMYHUK1495M,630000096025066611M,010000000840100511F
DUMMYHUK3179M,*,010000001127199811F
DUMMYHUK3360M,650000000227204411M,010000001127199811F
010000001211416611F,010000000062533111M,010000001174867711F
DUMMYHUK4537M,DUMMYHUK50M,010000001226483611F
DUMMYHUK3579F,650000013227754111M,010000001098477711F
010000001159337011F,650000001802389211M,010000001098477711F
DUMMYHUK3922M,010000000062249211M,010000001134835611F
DUMMYHUK4259M,DUMMYHUK11M,010000001223163411F
DUMMYHUK3045M,630000033087405211M,010000001074383911F
010000001191804011F,650000006164301611M,010000001132341011F
DUMMYHUK4750F,DUMMYHUK112M,DUMMYHUK4209F
DUMMYHUK2669M,720006105101205711M,010000001047410211F
DUMMYHUK2782M,720006105101205711M,010000001047410211F
DUMMYHUK3216F,DUMMYHUK72M,010000001098897611F
DUMMYHUK4699F,DUMMYHUK63M,DUMMYHUK4210F
010000001104049511F,650000000225898311M,010000001064874411F
010000001150073311F,650000001802389211M,010000001064874411F
DUMMYHUK3627M,650000013227754111M,010000001150983511F
010000001220040811F,650000013227733611M,010000001164006711F
DUMMYHUK3095M,630000026598823311M,010000001086186911F
DUMMYHUK3570M,650000006004537511M,010000001127730411F
DUMMYHUK3521M,630000036125244311M,010000001127199411F
DUMMYHUK3714M,650000006189496611M,010000001127199411F
010000000709589011F,640000000034704511M,010000000559296011F
DUMMYHUK415F,010000000039517311M,010000000446415211F
DUMMYHUK2967M,650000000229635411M,010000001065866111F
DUMMYHUK3365M,540000200097190511M,010000001146816011F
DUMMYHUK3463M,630000036125244311M,010000001152149011F
DUMMYHUK2913M,010000000060181711M,010000001084565211F
200000000010158911M,200000000006615311M,200000000028419411F
200000000021795711M,200000000017929711M,200000000067341211F
200000000028759111M,200000000021520511M,200000000175270411F
200000000028773711M,200000000016225511M,200000000066762811F
200000000028916111M,200000000023387111M,010000000151316811F
200000000012756511M,200000000007042111M,200000000028780611F
200000000020784311M,200000000016225511M,200000000066762811F
200000000022524111M,200000000016225511M,200000000063820411F
650000000224905511M,650000000191227011M,650000001337270611F
200000000025412511M,200000000014439511M,200000000095179811F
200000000013439111M,200000000008790711M,200000000022771011F
200000000026081111M,200000000023355911M,200000000045182011F
200000000019346111M,010000000016215911M,200000000058038811F
710000299100030511M,650000000196448411M,710000298703867811F
710000298902615411M,640000000037111511M,710000298703524411F
640000000036927511M,650000000165041411M,650000000893622311F
640000000090983911M,650000000075810311M,650000000210430411F
010000000656923611F,010000000040262511M,010000000520557011F
010000000684795011F,010000000039517311M,010000000520557011F
010000000650795611F,010000000040262511M,010000000565825811F
DUMMYHUK507M,640000000033767911M,200000000550212611F
200000000494327611F,200000000031622911M,200000000387009411F
DUMMYHUK2858M,*,010000001083851911F
DUMMYHUK4158M,650000013598410911M,010000001180097011F
DUMMYHUK4022F,DUMMYHUK56M,010000001150074311F
DUMMYHUK3684M,010000000061448511M,010000001150074311F
DUMMYHUK3994F,010000000061448511M,010000001181915211F
DUMMYHUK3117M,650000013182383311M,010000001084565211F
DUMMYHUK3662M,650000006225339411M,010000001171928711F
DUMMYHUK3875M,010000000063052611M,010000001171928711F
DUMMYHUK3709M,650000006189496611M,010000001177102511F
DUMMYHUK1585M,DUMMYHUK110M,010000000864834111F
010000000735674211F,640000000033879411M,010000000565825811F
DUMMYHUK3144M,650000013182383311M,010000001107884011F
010000001143985311F,600000057889174811M,010000001107884011F
010000001209880511F,650000006225339411M,010000001134368911F
010000001030461811F,630000011031407311M,010000000970104211F
DUMMYHUK3101F,DUMMYHUK56M,010000001086966111F
DUMMYHUK4227M,DUMMYHUK15M,010000001222094711F
DUMMYHUK3666M,*,010000001171720711F
DUMMYHUK3388M,630000078998045011M,010000001126440111F
010000001139522711F,630000026598823311M,010000001066721611F
DUMMYHUK3207M,010000000059817211M,010000001127986411F
DUMMYHUK4627F,DUMMYHUK63M,010000001215463811F
DUMMYHUK3643M,DUMMYHUK56M,010000001091463911F
DUMMYHUK3092M,630000026598823311M,010000001091463911F
010000001253594711F,010000000065110111M,010000001191397511F
010000000039517311M,010000000033209511M,010000000296411811F
010000000897699511F,650000000207829011M,010000000857115411F
DUMMYHUK2911M,650000000228486311M,010000001048292011F
DUMMYHUK4492F,DUMMYHUK12M,010000001199001811F
DUMMYHUK3822M,650000006054033611M,010000001139522711F
010000001178300911F,650000012205684611M,010000001139522711F
DUMMYHUK3564F,010000000061262811M,010000001162681911F
DUMMYHUK4425F,DUMMYHUK13M,010000001215798011F
DUMMYHUK3319M,DUMMYHUK56M,010000001049215111F
010000000543535211F,200000000034934111M,010000000404639611F
DUMMYHUK2549M,010000000058237411M,010000001007444011F
DUMMYHUK458M,640000000034286011M,200000000657396411F
DUMMYHUK3532M,DUMMYHUK56M,010000001088417911F
010000001243250111F,010000000063052611M,010000001114936111F
010000001191543711F,650000000201460711M,010000001114936111F
DUMMYHUK3959F,010000000062249211M,010000001150073311F
DUMMYHUK2565M,*,010000001011792811F
010000001152149111F,600000034546181811M,010000001090379711F
DUMMYHUK3680M,DUMMYHUK56M,010000001146745411F
010000001100673411F,630000022753720611M,010000001032415711F
DUMMYHUK3881M,650000013227733611M,010000001148186911F
DUMMYHUK3689M,650000006189496611M,010000001148186911F
DUMMYHUK4475F,DUMMYHUK32M,010000001241874811F
010000001150169711F,650000001805491811M,010000001093616611F
DUMMYHUK3197M,710000569200023211M,010000001107854211F
010000000741938411F,640000000034026011M,010000000686657611F
DUMMYHUK474M,640000000034351411M,010000000675341011F
010000000838716911F,630000031165144311M,010000000707177411F
DUMMYHUK3879F,DUMMYHUK56M,010000001103192611F
010000001108352311F,010000000058798411M,010000001045334111F
DUMMYHUK4727F,DUMMYHUK114M,010000001211416611F
010000001076492911F,650000012218557311M,010000001035507611F
DUMMYHUK3546M,650000000201460711M,010000001098083811F
DUMMYHUK4111M,650000013598410911M,010000001109524711F
DUMMYHUK3630M,650000006004537511M,010000001109524711F
DUMMYHUK3068F,630000026598823311M,010000001111025411F
DUMMYHUK3110M,630000033087405211M,010000001118055211F
DUMMYHUK3297M,630000078998045011M,010000001134835511F
DUMMYHUK1317F,120000000000076411M,010000000841440611F
010000001119375011F,650000000228486311M,010000001007900311F
010000001140544311F,650000001712414711M,010000001007900311F
010000001158276611F,650000001802389211M,010000001007900311F
010000001222604811F,650000006054033611M,010000001182086911F
DUMMYHUK4352F,DUMMYHUK32M,010000001171928711F
010000001152745511F,630000033087405211M,010000001076493111F
DUMMYHUK3102M,710000569200023211M,010000001114936111F
010000001228829511F,650000006392772311M,010000001190950511F
010000000596827811F,640000000032500511M,200000000377814011F
DUMMYHUK1477M,630000096025066611M,010000000840100711F
010000001210776411F,010000000061448511M,010000001155984011F
010000000608368611F,640000000032231511M,010000000495480811F
010000001064873011F,010000000057682611M,010000000982469611F
DUMMYHUK3017F,710000569200023211M,010000001107854211F
DUMMYHUK4477M,DUMMYHUK12M,010000001201349211F
DUMMYHUK4476F,DUMMYHUK12M,010000001201349211F
010000000763846011F,640000000035807711M,010000000686657611F
DUMMYHUK253F,200000000032436711M,200000000378493611F
200000000425687411F,200000000029949511M,200000000378493611F
010000000732139811F,640000000034026011M,010000000667714211F
DUMMYHUK4487M,DUMMYHUK12M,010000001214505711F
DUMMYHUK3199F,640000001070560811M,010000001103192611F
DUMMYHUK2723M,630000022753720611M,010000001028917711F
010000001214017411F,010000000061448511M,010000001084820111F
010000001218931011F,650000006054033611M,010000001133207911F
DUMMYHUK2793M,010000000059827811M,010000001015106011F
010000001052628611F,630000085607022211M,010000001015106011F
DUMMYHUK4735F,DUMMYHUK34M,010000001214016511F
010000001178940111F,650000012205684611M,010000001100674411F
DUMMYHUK3437M,650000013227754111M,010000001149341511F
010000001253594111F,600000053674301911M,010000001211417011F
DUMMYHUK2397M,650000000228954811M,010000000970104411F
200000000437743611F,200000000030999311M,200000000242858011F
010000000962372111F,650000000210329711M,010000000919497011F
DUMMYHUK2563M,010000000058144511M,010000000965026711F
010000001129882111F,650000000228486311M,010000001070213111F
DUMMYHUK3180M,010000000059817211M,010000001123504911F
DUMMYHUK301F,640000000032065111M,010000000395006411F
010000001026934611F,120000000000391511M,010000000895531011F
010000000960267311F,640000000033757811M,010000000895531011F
DUMMYHUK1978M,600000002014002611M,010000000895531011F
010000000996058311F,600000101116469011M,010000000903106611F
DUMMYHUK2020M,DUMMYHUK83M,010000000931577111F
010000000917148811F,650000000210329711M,010000000853249011F
DUMMYHUK3136F,640000000536434311M,010000001072406111F
010000001187215711F,650000013436109311M,010000001127200011F
DUMMYHUK3898F,650000013555624311M,010000001127200011F
DUMMYHUK4379M,DUMMYHUK111M,010000001167287211F
DUMMYHUK4575F,DUMMYHUK31M,010000001222094711F
010000001169750411F,600000034721383611M,010000001134062811F
DUMMYHUK4337F,DUMMYHUK30M,010000001171720711F
DUMMYHUK2485M,*,010000000992241111F
010000001110760411F,720006105101205711M,010000001071943811F
DUMMYHUK2982M,650000000228486311M,010000001082243311F
010000001165231611F,640000000536434311M,010000001126440111F
DUMMYHUK3817F,650000013555624311M,010000001126440111F
DUMMYHUK4695M,DUMMYHUK112M,010000001256864011F
DUMMYHUK2902F,010000000057345011M,010000001085251111F
DUMMYHUK4197F,DUMMYHUK11M,010000001193755411F
010000001183604911F,650000000227204411M,010000001144963711F
010000001239235511F,010000000061448511M,010000001199001811F
DUMMYHUK2446M,010000000058237411M,010000000982469611F
010000001007044711F,120000000000298411M,010000000962371811F
DUMMYHUK3023M,630000026598823311M,010000001090382311F
DUMMYHUK4553F,DUMMYHUK13M,010000001196008911F
010000001047410411F,010000000058237411M,010000001005268311F
DUMMYHUK3381F,640000000514504111M,010000001103190911F
DUMMYHUK4626M,DUMMYHUK34M,010000001225949811F
DUMMYHUK4278F,DUMMYHUK11M,010000001222762611F
DUMMYHUK3089M,600000057889174811M,010000001065866111F
DUMMYHUK3821M,010000000063052611M,010000001185996611F
010000001180779311F,630000028845877311M,010000001084565211F
DUMMYHUK3552M,DUMMYHUK56M,010000001130107011F
DUMMYHUK3989M,010000000063052611M,010000001171653711F
010000001134062611F,720006105101208111M,010000001076493111F
DUMMYHUK3310M,630000028845877311M,010000001076493111F
DUMMYHUK4204F,DUMMYHUK15M,010000001180508011F
DUMMYHUK1339M,640000000036316211M,010000000840100711F
DUMMYHUK2477M,010000000058237411M,010000001011792811F
DUMMYHUK4000M,DUMMYHUK56M,010000001146745411F
DUMMYHUK3479F,010000000061262811M,010000001155984011F
DUMMYHUK2658F,010000000056040011M,010000000982469611F
DUMMYHUK2289M,650000000218531911M,010000000985696911F
DUMMYHUK3223M,600000034721383611M,010000001130105911F
010000001190950611F,630000036125244311M,010000001148186911F
DUMMYHUK4137M,650000013598410911M,010000001148186911F
DUMMYHUK2714M,650000012235831311M,010000001029127911F
DUMMYHUK3268F,650000012205684611M,010000001093616611F
010000000650795411F,010000000040262511M,200000000591385211F
010000001070209411F,010000000058695011M,010000001015106011F
200000000112965411F,200000000013695511M,200000000066152011F
200000000050247411F,200000000010634511M,200000000028767211F
200000000059028411F,010000000010465711M,010000000038057411F
640000000351152711F,640000000033347311M,640000000315237411F
640000000531978311F,650000000192941011M,640000000442503811F
200000000296954011F,200000000032137111M,200000000241617411F
200000000129215011F,200000000021098711M,200000000099332011F
650000000602182611F,650000000128218511M,650000000497659111F
010000001187907111F,630000036125244311M,010000001148427311F
DUMMYHUK2677M,010000000058144511M,010000001029858711F
DUMMYHUK3251M,640000001070560811M,010000001134062711F
DUMMYHUK4514M,DUMMYHUK33M,010000001241874511F
010000001173439711F,630000028845877311M,010000001084820111F
010000001091463911F,010000000046116511M,010000001045334311F
DUMMYHUK4481M,DUMMYHUK33M,010000001214016511F
010000001143985711F,710000569200023211M,010000001100674411F
DUMMYHUK4576F,DUMMYHUK31M,010000001247560311F
DUMMYHUK4175M,DUMMYHUK56M,010000001167884011F
DUMMYHUK3849M,010000000063052611M,010000001167884011F
DUMMYHUK2778M,650000001715473711M,010000001048292411F
DUMMYHUK2656M,010000000046116511M,010000001048292411F
DUMMYHUK4092M,650000013598410911M,010000001203504711F
DUMMYHUK4659F,DUMMYHUK63M,010000001211417011F
010000001149341511F,630000026598823311M,010000001069447211F
200000000083460011F,200000000016225511M,200000000048691211F
200000000043220411F,200000000009204711M,200000000031251211F
200000000066080211F,200000000014439711M,200000000047804611F
200000000039470811F,200000000006966911M,200000000031189211F
640000000643440811F,640000000039166111M,640000000433990911F
200000000147082011F,200000000018862111M,200000000069507211F
DUMMYHUK4544F,DUMMYHUK89M,010000001199548511F
DUMMYHUK4174M,*,010000001209437511F
DUMMYHUK4485M,*,010000001209437511F
010000001133207811F,600000057889174811M,010000001091042211F
010000001107854011F,010000000058798411M,010000001014348311F
DUMMYHUK2977M,650000001712414711M,010000001090499311F
DUMMYHUK1739M,650000000210329711M,010000000855013811F
DUMMYHUK2023M,650000000218300711M,010000000855013811F
DUMMYHUK1887M,640000000032809811M,010000000893469511F
DUMMYHUK2368M,720000111503103811M,010000000903106411F
DUMMYHUK2229M,630000083938054611M,010000000917149611F
DUMMYHUK2032M,630000079054553211M,010000000917149611F
DUMMYHUK1870F,640000000037990611M,010000000921210811F
DUMMYHUK1886M,010000000042560511M,010000000922946311F
DUMMYHUK2310M,650000000218531911M,010000000985698511F
010000001159823811F,600000034546181811M,010000001100673411F
DUMMYHUK3554M,650000013227754111M,010000001154402811F
010000001205004011F,650000013577802311M,010000001164303611F
DUMMYHUK4533M,DUMMYHUK50M,010000001224118711F
010000001086966111F,630000022753720611M,010000001027721411F
DUMMYHUK4415F,DUMMYHUK111M,010000001193755711F
DUMMYHUK2733F,630000022753720611M,010000001027305411F
DUMMYHUK3593M,650000006004537511M,010000001148810711F
DUMMYHUK3660F,650000006189496611M,010000001169923511F
DUMMYHUK4564M,DUMMYHUK56M,010000001169923511F
DUMMYHUK4508M,DUMMYHUK12M,010000001210776411F
DUMMYHUK4714F,DUMMYHUK114M,DUMMYHUK4197F
DUMMYHUK4598M,DUMMYHUK50M,DUMMYHUK3889F
DUMMYHUK4611F,DUMMYHUK63M,010000001250434511F
010000000656924011F,010000000040262511M,200000000379850211F
DUMMYHUK1432M,DUMMYHUK110M,010000000843229411F
DUMMYHUK2844M,720006105101208111M,010000001045334311F
010000001178938511F,650000012205684611M,010000001100674411F
DUMMYHUK2901M,010000000059827811M,010000001045333411F
DUMMYHUK4665F,DUMMYHUK89M,010000001252638511F
DUMMYHUK1906M,630000079054553211M,010000000843229011F
DUMMYHUK1389M,650000000207350511M,010000000843229011F
DUMMYHUK2137F,630000083137519511M,010000000864833911F
DUMMYHUK1448M,010000000043267111M,010000000860067811F
DUMMYHUK3696M,010000000061448511M,010000001174450111F
DUMMYHUK2174M,630000083938054611M,010000000858174011F
010000001028917511F,650000000229747311M,010000000858174011F
DUMMYHUK4096F,DUMMYHUK56M,010000001177102511F
DUMMYHUK4693F,DUMMYHUK112M,010000001220441011F
DUMMYHUK3239M,640000000536434311M,010000001069447211F
650000013555625211M,650000012235831311M,650000020718409511F
010000000707177211F,640000000034904011M,010000000561495411F
010000000765866611F,120000000000083211M,010000000565825811F
010000000728253211F,640000000034026011M,010000000683916611F
010000000744556011F,640000000035790711M,010000000662994611F
DUMMYHUK3894F,010000000062249211M,010000001187215011F
010000001111535211F,650000000225898311M,010000001033352411F
010000001144962511F,630000026598823311M,010000001107854511F
010000001203110511F,650000013227754111M,010000001148427011F
DUMMYHUK4266M,DUMMYHUK15M,010000001181915211F
DUMMYHUK4281F,DUMMYHUK56M,010000001169330711F
DUMMYHUK4603F,DUMMYHUK112M,010000001206182011F
DUMMYHUK4155M,650000013598410911M,010000001213248411F
010000001173590011F,630000028845877311M,010000001091042211F
DUMMYHUK3081M,600000034546181811M,010000001091042211F
010000001144962611F,630000026598823311M,010000001014348311F
010000001052629311F,630000015965926111M,010000000966695511F
010000000893468911F,650000000207350511M,010000000852135911F
DUMMYHUK1573M,650000000210329711M,010000000855013811F
DUMMYHUK1860F,650000000202004911M,010000000855013811F
DUMMYHUK2165M,010000000056944611M,010000000855013811F
DUMMYHUK2692M,010000000058798411M,010000001012284311F
DUMMYHUK3298M,630000078998045011M,010000001134836011F
DUMMYHUK4143M,710000500823845711M,010000001191804711F
010000000898967511F,640000000033339111M,010000000857114911F
DUMMYHUK2033M,010000000046116511M,010000000893469511F
010000001013097111F,710000149000028411M,010000000893469511F
DUMMYHUK2049M,640000000037650411M,010000000903106411F
DUMMYHUK2204F,630000011111639311M,010000000903106411F
010000000960268011F,630000079054553211M,010000000917150011F
010000000982468311F,630000079054553211M,010000000938498911F
010000001188487011F,630000036125244311M,010000001093434811F
DUMMYHUK2818M,710000369710405511M,010000001076492911F
DUMMYHUK4467M,DUMMYHUK111M,010000001148188111F
010000001209434511F,650000006225339411M,010000001148188111F
DUMMYHUK3497M,600000034661272411M,010000001155984711F
010000001243841111F,650000006392772311M,010000001164303611F
DUMMYHUK3713M,010000000061448511M,010000001177102211F
DUMMYHUK3457M,DUMMYHUK56M,010000001004563411F
DUMMYHUK2852M,650000000228486311M,010000001004563411F
DUMMYHUK405F,010000000039137311M,200000000523808411F
010000000673646211F,010000000039517311M,010000000559296011F
DUMMYHUK151F,200000000029165911M,DUMMYHUK136F
010000000776802011F,640000000036296511M,010000000622315211F
010000000622315611F,640000000033201211M,010000000472172611F
DUMMYHUK150F,DUMMYHUK98M,DUMMYHUK129F
DUMMYHUK552M,640000000033255411M,010000000559296011F
DUMMYHUK493M,640000000035807711M,010000000588379211F
DUMMYHUK690M,650000000188214111M,010000000622315211F
DUMMYHUK155F,DUMMYHUK98M,DUMMYHUK338F
010000000700999011F,640000000034904011M,010000000643990811F
DUMMYHUK4093M,010000000065110111M,010000001164862811F
DUMMYHUK3743M,650000013555625211M,010000001164862811F
DUMMYHUK3151M,640000000536434311M,010000001107854311F
DUMMYHUK3913F,DUMMYHUK56M,010000001170968211F
DUMMYHUK3968M,010000000063130811M,010000001181914811F
DUMMYHUK4733M,DUMMYHUK31M,DUMMYHUK4234F
DUMMYHUK4480M,DUMMYHUK32M,DUMMYHUK3930F
DUMMYHUK3043M,600000057889174811M,010000001024969011F
DUMMYHUK3035M,600000034546181811M,010000001090499211F
DUMMYHUK4578F,DUMMYHUK33M,010000001226485211F
DUMMYHUK3839M,010000000062249211M,010000001187907111F
DUMMYHUK2573M,630000022753720611M,010000001008322811F
DUMMYHUK3815M,650000013555624311M,010000001166573911F
DUMMYHUK3629M,010000000061448511M,010000001166573911F
DUMMYHUK4511M,DUMMYHUK13M,010000001186482811F
200000000031023311M,200000000021037511M,*
200000000014822911M,200000000008374711M,*
200000000378419211F,010000000025898911M,*
650000013577802311M,650000012235831311M,650000013170458711F
650000013574771311M,650000012235831311M,650000013160184811F
200000000023209511M,200000000013695511M,*
200000000012040111M,200000000004497711M,*
650000000145069211M,650000000103850911M,*
650000000148344611M,650000000139661711M,*
650000000122324311M,650000000103850911M,*
650000000157299911M,650000000152952611M,*
DUMMYHUK4375F,DUMMYHUK111M,010000001211417011F
DUMMYHUK4194M,DUMMYHUK30M,010000001220441011F
DUMMYHUK4532F,DUMMYHUK13M,010000001225623111F
010000000562896811F,640000000032065111M,200000000516498411F
DUMMYHUK367F,640000000033383611M,010000000520557011F
010000000688264211F,640000000033612111M,200000000550212611F
010000000762418211F,120000000000083211M,010000000674248011F
010000000741938611F,640000000034026011M,010000000688263611F
DUMMYHUK726M,650000000185690411M,010000000728252011F
DUMMYHUK3717M,650000006189496611M,010000001180097011F
DUMMYHUK3425M,DUMMYHUK56M,010000001116203411F
DUMMYHUK3780F,DUMMYHUK56M,010000001116203411F
DUMMYHUK4493F,DUMMYHUK13M,010000001185996511F
DUMMYHUK4309F,DUMMYHUK15M,010000001206263011F
DUMMYHUK4461M,DUMMYHUK33M,010000001213248411F
DUMMYHUK4208M,DUMMYHUK11M,010000001213856711F
DUMMYHUK4491F,DUMMYHUK33M,010000001213856711F
DUMMYHUK4734M,DUMMYHUK114M,010000001213856711F
DUMMYHUK4354M,DUMMYHUK33M,010000001227788111F
010000001106433011F,010000000056040011M,010000001030220111F
DUMMYHUK4567M,DUMMYHUK12M,010000001196838011F
DUMMYHUK1914F,650000000202004911M,010000000855013311F
DUMMYHUK3771F,650000013227733611M,010000001141281711F
DUMMYHUK4269M,DUMMYHUK11M,010000001199548511F
010000001214505711F,650000006225339411M,010000001111535311F
010000001192498311F,650000006164301611M,010000001111535311F
DUMMYHUK4674F,DUMMYHUK112M,010000001253580511F
010000000903795511F,650000000207350511M,010000000861668311F
010000001008322911F,010000000056944611M,010000000966695511F
010000001154344511F,650000001805491811M,010000001090499311F
DUMMYHUK3522M,650000013227754111M,010000001157246511F
200000000173815411F,200000000024553711M,200000000124107411F
200000000055115611F,010000000004655111M,010000000020340611F
650000001433478511F,650000000196448411M,650000001280673711F
650000001433479111F,650000000196448411M,650000001280673711F
630000046199837511F,650000000196448411M,650000001274456911F
