ANIMAL_ID,SIRE_ID,DAM_ID
DUMMYHUK1545M,010000000043267111M,010000000874845911F
DUMMYHUK1621F,640000000032950111M,010000000880109211F
DUMMYHUK1754M,120000000000283611M,010000000880109211F
DUMMYHUK2224M,630000011111639311M,010000000897698611F
DUMMYHUK2054M,600000101116469011M,010000000897698611F
DUMMYHUK1737M,640000000033339111M,010000000897698911F
DUMMYHUK1864M,010000000042560511M,010000000897698911F
DUMMYHUK2376M,650000000189121311M,010000000898968611F
DUMMYHUK1875M,640000000033757811M,010000000898968611F
DUMMYHUK1998M,650000000218300711M,010000000936283611F
DUMMYHUK2429M,630000031641972111M,010000000936283211F
DUMMYHUK1966F,600000002014002611M,010000000938499311F
DUMMYHUK2377M,650000000228954811M,010000000938499711F
640000000027593211M,640000000025280311M,640000000108384611F
200000000020011111M,200000000016224311M,200000000043517811F
200000000020768511M,200000000018557311M,200000000039603811F
200000000030833311M,200000000021251111M,200000000120857211F
200000000028754911M,200000000021590711M,200000000129215011F
640000000026378111M,640000000024820711M,640000000108938211F
200000000014573911M,010000000009730511M,010000000017305611F
200000000006811111M,200000000005630311M,010000000014840811F
650000000212240411M,650000000187914911M,650000001240600111F
200000000010102111M,010000000005863111M,010000000025167411F
200000000013219911M,200000000005779311M,010000000030843211F
650000000211952611M,650000000185804711M,650000001259303111F
650000000226500511M,650000000207186411M,650000001488917111F
010000000433458211F,640000000029421311M,200000000298992811F
DUMMYHUK269F,640000000029421311M,*
200000000416331611F,200000000030999311M,200000000235907811F
010000000439280611F,010000000025898911M,200000000289321611F
DUMMYHUK236F,200000000032457311M,*
DUMMYHUK119F,DUMMYHUK78M,*
12000000020019581BF,*,*
200000000081466611F,*,*
200000000088043611F,*,*
200000000101659211F,*,*
640000000106938511F,*,*
640000000110275911F,*,*
640000000145202611F,*,*
640000000146758211F,*,*
640000000149946611F,*,*
640000000165987111F,*,*
640000000171065311F,*,*
640000000180908411F,*,*
650000000217555021F,*,*
650000000226001611F,*,*
650000000258437811F,*,*
650000000309354811F,*,*
650000000319609211F,*,*
650000000323208511F,*,*
200000000103048211F,200000000013695511M,*
650000000330970011F,650000000100282811M,*
650000000335265211F,650000000089591111M,*
200000000241617411F,200000000023895511M,200000000185552011F
200000000279603411F,200000000030762911M,*
640000000339956411F,640000000029985511M,640000000255974911F
200000000202069611F,200000000025344511M,*
200000000258842211F,200000000023609311M,*
010000000022775211F,*,*
010000000023786811F,*,*
010000000024053611F,*,*
010000000024130611F,*,*
010000000024586611F,*,*
010000000025321611F,*,*
010000000026082811F,*,*
010000000027092211F,*,*
010000000027357811F,*,*
010000000028325611F,*,*
010000000028348611F,*,*
010000000028732811F,*,*
010000000029104611F,*,*
DUMMYHUK120F,DUMMYHUK1M,*
DUMMYHUK268F,010000000033602911M,*
DUMMYHUK244F,200000000029183511M,*
DUMMYHUK245F,640000000029421311M,*
010000001026128911F,650000000189121311M,010000000938498611F
DUMMYHUK2135M,120000000000411811M,010000000960267311F
DUMMYHUK3673M,010000000061448511M,010000001152745511F
DUMMYHUK146F,DUMMYHUK79M,*
DUMMYHUK271F,200000000034594911M,*
010000000982469811F,630000079054553211M,010000000878347911F
DUMMYHUK1840M,640000000037990611M,010000000880109311F
DUMMYHUK1713M,640000000033339111M,010000000880109311F
DUMMYHUK2367M,630000011031407311M,010000000893469811F
DUMMYHUK1853M,650000000202004911M,010000000895531811F
010000000960268111F,650000000220330611M,010000000878348211F
DUMMYHUK1692F,630000077665452811M,010000000893468511F
DUMMYHUK1877M,640000000032809811M,010000000898967511F
010000001024456811F,720000090801767011M,010000000960268311F
010000001107854411F,010000000058798411M,010000000962371611F
DUMMYHUK2469F,720000111503103811M,010000000962371611F
DUMMYHUK2340M,720000111503103811M,010000000962371611F
010000001008441411F,120000000000411811M,010000000962371611F
DUMMYHUK2422M,720000111503103811M,010000000917151111F
010000001034626611F,720000111503103811M,010000000938498511F
DUMMYHUK2141M,120000000000298411M,010000000960267011F
010000001007443811F,630000083938054611M,010000000965026611F
DUMMYHUK1677F,640000000032950111M,010000000871716911F
DUMMYHUK1550M,640000000032950111M,010000000874846311F
010000000917151611F,630000031834081011M,010000000874844611F
DUMMYHUK2341M,720000090801767011M,010000000895531711F
010000001069447111F,720000090901588111M,010000000917150911F
200000000435546811F,200000000032457311M,200000000280255611F
200000000260113011F,200000000023229711M,*
010000000985698011F,640000000037650411M,010000000877132311F
010000000962372311F,640000000033757811M,010000000877132311F
010000000966696811F,650000000220330611M,010000000898968711F
DUMMYHUK2423M,710000149000028411M,010000000898967611F
DUMMYHUK3172F,650000001724630311M,010000001103189911F
010000000895531511F,640000000034589511M,010000000851678511F
DUMMYHUK255F,DUMMYHUK41M,*
DUMMYHUK1571M,640000000032950111M,010000000880109311F
DUMMYHUK2022F,650000000218300711M,010000000893469811F
DUMMYHUK2223F,630000011111639311M,010000000895531811F
010000000938497811F,640000000033339111M,010000000893469611F
DUMMYHUK2986M,650000000228486311M,010000000960268311F
DUMMYHUK2548M,010000000058195011M,010000000960268311F
010000001104849211F,650000012235831311M,010000001024614011F
010000001086966211F,650000012218557311M,010000001024614011F
010000000996058411F,600000002014002611M,010000000874845611F
DUMMYHUK2249M,120000000000411811M,010000000938498511F
DUMMYHUK2055M,DUMMYHUK83M,010000000938498511F
DUMMYHUK1705M,640000000033877811M,010000000874844611F
DUMMYHUK1679M,650000000210329711M,010000000895531711F
010000001026129011F,120000000000391511M,010000000917150911F
DUMMYHUK1845M,650000000210329711M,010000000917150811F
DUMMYHUK2048M,010000000046116511M,010000000924984911F
DUMMYHUK2345M,720000111503103811M,010000000924984911F
DUMMYHUK2109M,650000000218300711M,010000000928757611F
010000000985698211F,630000079054553211M,010000000940444511F
DUMMYHUK2277F,DUMMYHUK84M,010000000903795211F
DUMMYHUK2282M,650000000228954811M,010000000938497711F
650000000159644111M,640000000028879011M,650000000593905711F
